IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
99,Incendies,2010,R,2 hours 11 minutes,8.3,Canada,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel, Hussein Sami","French, Arabic, English","$6,800,000 (estimated)","$6,797,861","https://m.media-amazon.com/images/M/MV5BYWFmMjdmNjctNzhhOC00ZmMzLTkwOGItMmVmZDU4MjE2MTYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt1255953/
100,Reservoir Dogs,1992,R,1 hour 39 minutes,8.3,United States,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi",English,"$1,200,000 (estimated)","$2,932,006","https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0105236/
101,The Apartment,1960,Approved,2 hours 5 minutes,8.3,United States,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen",English,"$3,000,000 (estimated)","$18,783,770","https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg",https://www.imdb.com/title/tt0053604/
102,Lawrence of Arabia,1962,PG,3 hours 47 minutes,8.3,United Kingdom,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif","English, Arabic, Turkish","$15,000,000 (estimated)","$45,868,580","https://m.media-amazon.com/images/M/MV5BYjY0YTQ1OTAtYjEyNy00NTQ4LThlMTQtM2QwYTVhYWFhNjU5XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt0056172/
103,Scarface,1983,R,2 hours 50 minutes,8.3,United States,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, Robert Loggia","English, Spanish","$50,000,000 (estimated)","$66,443,303","https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0086250/
104,Double Indemnity,1944,Approved,1 hour 47 minutes,8.3,United States,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr, Porter Hall",English,"$927,262 (estimated)","$21,026","https://m.media-amazon.com/images/M/MV5BM2YwNjZlZDktNTlmNS00ODQwLWJmNmUtYmE1NTBhYjc1YTY5XkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0036775/
105,Heat,1995,R,2 hours 50 minutes,8.3,United States,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore","English, Spanish","$60,000,000 (estimated)","$187,436,818","https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt0113277/
106,North by Northwest,1959,Approved,2 hours 16 minutes,8.3,United States,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll","English, French","$3,101,000 (estimated)","$197,920","https://m.media-amazon.com/images/M/MV5BZWIzODI2OGItMzM0Ny00OGRmLTlkNmItMDQxMTFmMTk3YmQwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0053125/
107,Up,2009,PG,1 hour 36 minutes,8.3,United States,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson",English,"$175,000,000 (estimated)","$735,103,954","https://m.media-amazon.com/images/M/MV5BNmI1ZTc5MWMtMDYyOS00ZDc2LTkzOTAtNjQ4NWIxNjYyNDgzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1049413/
108,Citizen Kane,1941,PG,1 hour 59 minutes,8.3,United States,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","English, Italian","$839,727 (estimated)","$1,711,106","https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0033467/
109,M,1931,Passed,1 hour 39 minutes,8.3,Germany,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",German,N/A,"$35,566","https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0022100/
110,Full Metal Jacket,1987,R,1 hour 56 minutes,8.2,United Kingdom,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin, Dorian Harewood","English, Vietnamese","$30,000,000 (estimated)","$50,193,748","https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0093058/
111,Vertigo,1958,PG,2 hours 8 minutes,8.2,United States,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones",English,"$2,479,000 (estimated)","$7,971,440","https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt0052357/
112,Amélie,2001,R,2 hours 2 minutes,8.3,France,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta, Serge Merlin","French, Russian, English","$10,000,000 (estimated)","$175,183,052","https://m.media-amazon.com/images/M/MV5BOTNmYzY0MWQtZGZmNy00Y2Y4LWFmMDQtMTZjYTdiYzEwZGQ2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0211915/
113,A Separation,2011,PG-13,2 hours 3 minutes,8.3,Iran,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, Sarina Farhadi",Persian,"$500,000 (estimated)","$22,926,076","https://m.media-amazon.com/images/M/MV5BMDM0ZWRmMzctM2M5ZS00ZjU0LWIxN2MtNWNlNGY1ZDhjMDVhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1832382/
114,Like Stars on Earth,2007,PG,2 hours 42 minutes,8.3,India,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda","Hindi, English",N/A,"$21,897,373","https://m.media-amazon.com/images/M/MV5BZTI0ZGRiMDEtNGNjMS00MGU4LWI3OTktNzcxMDZmZTk3MTljXkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://www.imdb.com/title/tt0986264/
115,To Kill a Mockingbird,1962,Approved,2 hours 9 minutes,8.3,United States,Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, Ruth White",English,"$2,000,000 (estimated)","$602,810","https://m.media-amazon.com/images/M/MV5BZTlkYWU4MGEtZmQyYi00OWEzLTgzY2EtYzVjOTEzYzAyNTk1XkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0056592/
116,Die Hard,1988,R,2 hours 12 minutes,8.2,United States,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","English, German, Italian, Japanese","$28,000,000 (estimated)","$143,651,650","https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0095016/
117,A Clockwork Orange,1971,R,2 hours 16 minutes,8.2,United Kingdom,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive",English,"$2,200,000 (estimated)","$27,034,174","https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0066921/
118,The Sting,1973,PG,2 hours 9 minutes,8.2,United States,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston",English,"$5,500,000 (estimated)","$156,000,000","https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0070735/
119,Indiana Jones and the Last Crusade,1989,PG-13,2 hours 7 minutes,8.2,United States,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, John Rhys-Davies","English, German, Greek, Latin, Italian","$48,000,000 (estimated)","$474,171,806","https://m.media-amazon.com/images/M/MV5BNGIxNzQ0YzYtMjNmYi00YjBlLWFjNzEtNGE3ZGFmYTczM2MwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0097576/
120,Oppenheimer,2023,R,3 hours,8.3,United States,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Alden Ehrenreich","English, German, Italian, Dutch","$100,000,000 (estimated)","$975,811,333","https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt15398776/
121,Metropolis,1927,Not Rated,2 hours 33 minutes,8.3,Germany,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","German, English","DEM 6,000,000 (estimated)","$1,351,009","https://m.media-amazon.com/images/M/MV5BMjhjMGYyMjAtMzJkYy00NzhlLWIwY2MtMWQ2ODIxZDUyOGYyXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0017136/
122,Snatch,2000,R,1 hour 42 minutes,8.2,United Kingdom,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones, Ade","English, Russian","£6,000,000 (estimated)","$83,557,872","https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0208092/
123,1917,2019,R,1 hour 59 minutes,8.2,United Kingdom,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Pip Carter","English, French, German","$95,000,000 (estimated)","$446,064,352","https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_QL75_UX190_CR0,10,190,281_.jpg",https://www.imdb.com/title/tt8579674/
124,L.A. Confidential,1997,R,2 hours 18 minutes,8.2,United States,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, James Cromwell",English,"$35,000,000 (estimated)","$126,216,940","https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0119488/
125,Bicycle Thieves,1948,Not Rated,1 hour 29 minutes,8.2,Italy,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri, Gino Saltamerenda","Italian, German","$133,000 (estimated)","$451,336","https://m.media-amazon.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_QL75_UY281_CR3,0,190,281_.jpg",https://www.imdb.com/title/tt0040522/
126,Downfall,2004,R,2 hours 36 minutes,8.2,Germany,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler, Corinna Harfouch","German, Russian, French, Hungarian, English","€13,500,000 (estimated)","$92,181,574","https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0363163/
127,Dangal,2016,Not Rated,2 hours 41 minutes,8.3,India,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana","Hindi, English","₹700,000,000 (estimated)","$303,726,694","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY281_CR6,0,190,281_.jpg",https://www.imdb.com/title/tt5074352/
128,The Wolf of Wall Street,2013,R,3 hours,8.2,United States,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler","English, French","$100,000,000 (estimated)","$407,039,432","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0993846/
129,Hamilton,2020,PG-13,2 hours 40 minutes,8.3,United States,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry, Daveed Diggs","English, French",N/A,N/A,"https://m.media-amazon.com/images/M/MV5BYzBhOWY4ZTktMjE2NS00ZGIyLWJkOGMtNDQyN2JjZWFiODdiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt8503618/
130,Taxi Driver,1976,R,1 hour 54 minutes,8.2,United States,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott","English, Spanish","$1,300,000 (estimated)","$28,737,520","https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0075314/
131,Green Book,2018,PG-13,2 hours 10 minutes,8.2,United States,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov","English, Italian, Russian, German","$23,000,000 (estimated)","$321,752,656","https://m.media-amazon.com/images/M/MV5BNDU5YTNmMmItN2QxNy00OGQ0LTg5MTctNzFmYjEzZjcwN2UwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt6966692/
132,Batman Begins,2005,PG-13,2 hours 20 minutes,8.2,United States,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson, Katie Holmes","English, Mandarin","$150,000,000 (estimated)","$375,406,308","https://m.media-amazon.com/images/M/MV5BODIyMDdhNTgtNDlmOC00MjUxLWE2NDItODA5MTdkNzY3ZTdhXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0372784/
133,The Truman Show,1998,PG,1 hour 43 minutes,8.2,United States,Peter Weir,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich, Natascha McElhone",English,"$60,000,000 (estimated)","$264,118,712","https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0120382/
134,For a Few Dollars More,1965,R,2 hours 12 minutes,8.2,Italy,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp, Luigi Pistilli","English, Italian","$600,000 (estimated)","$15,000,000","https://m.media-amazon.com/images/M/MV5BNTRmOTcyYmYtMTIwNi00ZGYyLTk4YjYtZGJlZTgwZGY0NGQyXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0059578/
135,Judgment at Nuremberg,1961,Approved,2 hours 59 minutes,8.3,United States,Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, Maximilian Schell","English, German","$3,000,000 (estimated)","$12,180","https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0055031/
136,Some Like It Hot,1959,Approved,2 hours 1 minute,8.2,United States,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien","English, French","$2,883,848 (estimated)","$208,786","https://m.media-amazon.com/images/M/MV5BZTllZDYyNjEtY2RmMS00NmJhLWI4ODAtMTQ0NWFiZTJhZjA0XkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt0053291/
137,Shutter Island,2010,R,2 hours 18 minutes,8.2,United States,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley, Max von Sydow","English, German","$80,000,000 (estimated)","$294,978,537","https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1130884/
138,The Kid,1921,Passed,1 hour 8 minutes,8.2,United States,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller, Albert Austin","None, English","$250,000 (estimated)","$44,115","https://m.media-amazon.com/images/M/MV5BNjkxMzY1NTQtN2YwOS00NmIwLTlkNTMtMjNkMzk1ZTk3ZDU2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0012349/
139,The Father,2020,PG-13,1 hour 37 minutes,8.2,United Kingdom,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",English,"$6,000,000 (estimated)","$24,048,935","https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt10272386/
140,All About Eve,1950,Approved,2 hours 18 minutes,8.2,United States,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill","English, French","$1,400,000 (estimated)","$154,974","https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0042192/
141,Jurassic Park,1993,PG-13,2 hours 7 minutes,8.2,United States,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck","English, Spanish","$63,000,000 (estimated)","$1,104,379,926","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0107290/
142,There Will Be Blood,2007,R,2 hours 38 minutes,8.2,United States,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer, Matthew Braden Stringer","English, American Sign Language","$25,000,000 (estimated)","$76,430,381","https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0469494/
143,The Sixth Sense,1999,PG-13,1 hour 47 minutes,8.2,United States,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan","English, Latin, Spanish","$40,000,000 (estimated)","$672,806,432","https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0167404/
144,Casino,1995,R,2 hours 58 minutes,8.2,United States,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",English,"$52,000,000 (estimated)","$116,112,375","https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0112641/
145,Ran,1985,R,2 hours 40 minutes,8.2,Japan,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada",Japanese,"$11,500,000 (estimated)","$4,292,539","https://m.media-amazon.com/images/M/MV5BZDk2NDY5YjktMjEyMC00OTJhLTkzM2EtY2Q4Y2RjYzc2Yjk4XkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0089881/
146,Top Gun: Maverick,2022,PG-13,2 hours 10 minutes,8.2,United States,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin",English,"$170,000,000 (estimated)","$1,495,696,292","https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1745960/
147,No Country for Old Men,2007,R,2 hours 2 minutes,8.2,United States,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald","English, Spanish","$25,000,000 (estimated)","$171,632,777","https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0477348/
148,The Thing,1982,R,1 hour 49 minutes,8.2,United States,John Carpenter,"Kurt Russell, Wilford Brimley, Keith David, Richard Masur, T.K. Carter","English, Norwegian","$15,000,000 (estimated)","$20,838,523","https://m.media-amazon.com/images/M/MV5BYTA3NDU5MWEtNTk4Yy00ZDNkLThmZTQtMjU3ZGVhYzAyMzU4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0084787/
